발표시각,지역,예보시각,예보,강수확률(%)
2026-05-04 18시,서울.인천.경기,2026-05-09 오후,맑음,10
2026-05-04 18시,서울.인천.경기,2026-05-10 오전,맑음,10
2026-05-04 18시,서울.인천.경기,2026-05-10 오후,맑음,10
2026-05-04 18시,서울.인천.경기,2026-05-11 오전,맑음,10
2026-05-04 18시,서울.인천.경기,2026-05-11 오후,맑음,10
2026-05-04 18시,서울.인천.경기,2026-05-12 오전,구름많음,20
2026-05-04 18시,서울.인천.경기,2026-05-13 오전,구름많음,20
2026-05-04 18시,서울.인천.경기,2026-05-14 오전,맑음,10
2026-05-04 18시,충청북도,2026-05-09 오전,맑음,10
2026-05-04 18시,충청북도,2026-05-09 오후,맑음,10
2026-05-04 18시,충청북도,2026-05-10 오전,맑음,10
2026-05-04 18시,충청북도,2026-05-10 오후,맑음,10
2026-05-04 18시,충청북도,2026-05-11 오전,맑음,10
2026-05-04 18시,충청북도,2026-05-11 오후,맑음,10
2026-05-04 18시,충청북도,2026-05-12 오전,구름많음,20
2026-05-04 18시,충청북도,2026-05-13 오전,구름많음,20
2026-05-04 18시,충청북도,2026-05-14 오전,맑음,10
2026-05-04 18시,충청남도,2026-05-09 오전,맑음,10
2026-05-04 18시,충청남도,2026-05-09 오후,맑음,10
2026-05-04 18시,충청남도,2026-05-10 오전,맑음,10
2026-05-04 18시,충청남도,2026-05-10 오후,맑음,10
2026-05-04 18시,충청남도,2026-05-11 오전,맑음,10
2026-05-04 18시,충청남도,2026-05-11 오후,맑음,10
2026-05-04 18시,충청남도,2026-05-12 오전,구름많음,20
2026-05-04 18시,충청남도,2026-05-13 오전,구름많음,20
2026-05-04 18시,충청남도,2026-05-14 오전,맑음,10
2026-05-04 18시,강원영서,2026-05-09 오전,맑음,10
2026-05-04 18시,강원영서,2026-05-09 오후,맑음,10
2026-05-04 18시,강원영서,2026-05-10 오전,맑음,10
2026-05-04 18시,강원영서,2026-05-10 오후,맑음,10
2026-05-04 18시,강원영서,2026-05-11 오전,맑음,10
2026-05-04 18시,강원영서,2026-05-11 오후,맑음,10
2026-05-04 18시,강원영서,2026-05-12 오전,구름많음,20
2026-05-04 18시,강원영서,2026-05-13 오전,구름많음,20
2026-05-04 18시,강원영서,2026-05-14 오전,맑음,10
2026-05-04 18시,강원영동,2026-05-09 오전,맑음,10
2026-05-04 18시,강원영동,2026-05-09 오후,맑음,10
2026-05-04 18시,강원영동,2026-05-10 오전,맑음,10
2026-05-04 18시,강원영동,2026-05-10 오후,맑음,10
2026-05-04 18시,강원영동,2026-05-11 오전,맑음,10
2026-05-04 18시,강원영동,2026-05-11 오후,맑음,10
2026-05-04 18시,강원영동,2026-05-12 오전,구름많음,20
2026-05-04 18시,강원영동,2026-05-13 오전,구름많음,20
2026-05-04 18시,강원영동,2026-05-14 오전,맑음,10
2026-05-04 18시,전북자치도,2026-05-09 오전,맑음,10
2026-05-04 18시,전북자치도,2026-05-09 오후,맑음,10
2026-05-04 18시,전북자치도,2026-05-10 오전,맑음,10
2026-05-04 18시,전북자치도,2026-05-10 오후,맑음,10
2026-05-04 18시,전북자치도,2026-05-11 오전,맑음,10
2026-05-04 18시,전북자치도,2026-05-11 오후,맑음,10
2026-05-04 18시,전북자치도,2026-05-12 오전,구름많음,20
2026-05-04 18시,전북자치도,2026-05-13 오전,구름많음,20
2026-05-04 18시,전북자치도,2026-05-14 오전,맑음,10
2026-05-04 18시,전라남도,2026-05-09 오전,맑음,10
2026-05-04 18시,전라남도,2026-05-09 오후,맑음,10
2026-05-04 18시,전라남도,2026-05-10 오전,맑음,10
2026-05-04 18시,전라남도,2026-05-10 오후,맑음,10
2026-05-04 18시,전라남도,2026-05-11 오전,맑음,10
2026-05-04 18시,전라남도,2026-05-11 오후,맑음,10
2026-05-04 18시,전라남도,2026-05-12 오전,구름많음,20
2026-05-04 18시,전라남도,2026-05-13 오전,구름많음,20
2026-05-04 18시,전라남도,2026-05-14 오전,맑음,10
2026-05-04 18시,제주도,2026-05-09 오전,맑음,10
2026-05-04 18시,제주도,2026-05-09 오후,맑음,10
2026-05-04 18시,제주도,2026-05-10 오전,맑음,10
2026-05-04 18시,제주도,2026-05-10 오후,맑음,10
2026-05-04 18시,제주도,2026-05-11 오전,맑음,10
2026-05-04 18시,제주도,2026-05-11 오후,맑음,10
2026-05-04 18시,제주도,2026-05-12 오전,구름많음,20
2026-05-04 18시,제주도,2026-05-13 오전,구름많음,20
2026-05-04 18시,제주도,2026-05-14 오전,맑음,10
2026-05-04 18시,경상북도,2026-05-09 오전,맑음,10
2026-05-04 18시,경상북도,2026-05-09 오후,맑음,10
2026-05-04 18시,경상북도,2026-05-10 오전,맑음,10
2026-05-04 18시,경상북도,2026-05-10 오후,맑음,10
2026-05-04 18시,경상북도,2026-05-11 오전,맑음,10
2026-05-04 18시,경상북도,2026-05-11 오후,맑음,10
2026-05-04 18시,경상북도,2026-05-12 오전,구름많음,20
2026-05-04 18시,경상북도,2026-05-13 오전,구름많음,20
2026-05-04 18시,경상북도,2026-05-14 오전,맑음,10
2026-05-04 18시,경상남도,2026-05-09 오전,맑음,10
2026-05-04 18시,경상남도,2026-05-09 오후,맑음,10
2026-05-04 18시,경상남도,2026-05-10 오전,맑음,10
2026-05-04 18시,경상남도,2026-05-10 오후,맑음,10
2026-05-04 18시,경상남도,2026-05-11 오전,맑음,10
2026-05-04 18시,경상남도,2026-05-11 오후,맑음,10
2026-05-04 18시,경상남도,2026-05-12 오전,구름많음,20
2026-05-04 18시,경상남도,2026-05-13 오전,구름많음,20
2026-05-04 18시,경상남도,2026-05-14 오전,맑음,10
2026-05-05 06시,서울.인천.경기,2026-05-09 오전,맑음,10
2026-05-05 06시,서울.인천.경기,2026-05-09 오후,맑음,10
2026-05-05 06시,서울.인천.경기,2026-05-10 오전,맑음,10
2026-05-05 06시,서울.인천.경기,2026-05-10 오후,맑음,10
2026-05-05 06시,서울.인천.경기,2026-05-11 오전,맑음,10
2026-05-05 06시,서울.인천.경기,2026-05-11 오후,맑음,10
2026-05-05 06시,서울.인천.경기,2026-05-12 오전,구름많음,20
2026-05-05 06시,서울.인천.경기,2026-05-12 오후,구름많음,20
2026-05-05 06시,서울.인천.경기,2026-05-13 오전,구름많음,20
2026-05-05 06시,서울.인천.경기,2026-05-14 오전,맑음,10
2026-05-05 06시,서울.인천.경기,2026-05-15 오전,구름많음,20
2026-05-05 06시,충청북도,2026-05-09 오전,맑음,10
2026-05-05 06시,충청북도,2026-05-09 오후,맑음,10
2026-05-05 06시,충청북도,2026-05-10 오전,맑음,10
2026-05-05 06시,충청북도,2026-05-10 오후,맑음,10
2026-05-05 06시,충청북도,2026-05-11 오전,맑음,10
2026-05-05 06시,충청북도,2026-05-11 오후,맑음,10
2026-05-05 06시,충청북도,2026-05-12 오전,구름많음,20
2026-05-05 06시,충청북도,2026-05-12 오후,구름많음,20
2026-05-05 06시,충청북도,2026-05-13 오전,구름많음,20
2026-05-05 06시,충청북도,2026-05-14 오전,맑음,10
2026-05-05 06시,충청북도,2026-05-15 오전,구름많음,20
2026-05-05 06시,충청남도,2026-05-09 오전,맑음,10
2026-05-05 06시,충청남도,2026-05-09 오후,맑음,10
2026-05-05 06시,충청남도,2026-05-10 오전,맑음,10
2026-05-05 06시,충청남도,2026-05-10 오후,맑음,10
2026-05-05 06시,충청남도,2026-05-11 오전,맑음,10
2026-05-05 06시,충청남도,2026-05-11 오후,맑음,10
2026-05-05 06시,충청남도,2026-05-12 오전,구름많음,20
2026-05-05 06시,충청남도,2026-05-12 오후,구름많음,20
2026-05-05 06시,충청남도,2026-05-13 오전,구름많음,20
2026-05-05 06시,충청남도,2026-05-14 오전,맑음,10
2026-05-05 06시,충청남도,2026-05-15 오전,구름많음,20
2026-05-05 06시,강원영서,2026-05-09 오전,맑음,10
2026-05-05 06시,강원영서,2026-05-09 오후,맑음,10
2026-05-05 06시,강원영서,2026-05-10 오전,맑음,10
2026-05-05 06시,강원영서,2026-05-10 오후,맑음,10
2026-05-05 06시,강원영서,2026-05-11 오전,맑음,10
2026-05-05 06시,강원영서,2026-05-11 오후,맑음,10
2026-05-05 06시,강원영서,2026-05-12 오전,구름많음,20
2026-05-05 06시,강원영서,2026-05-12 오후,구름많음,20
2026-05-05 06시,강원영서,2026-05-13 오전,구름많음,20
2026-05-05 06시,강원영서,2026-05-14 오전,맑음,10
2026-05-05 06시,강원영서,2026-05-15 오전,구름많음,20
2026-05-05 06시,강원영동,2026-05-09 오전,맑음,10
2026-05-05 06시,강원영동,2026-05-09 오후,맑음,10
2026-05-05 06시,강원영동,2026-05-10 오전,맑음,10
2026-05-05 06시,강원영동,2026-05-10 오후,맑음,10
2026-05-05 06시,강원영동,2026-05-11 오전,맑음,10
2026-05-05 06시,강원영동,2026-05-11 오후,맑음,10
2026-05-05 06시,강원영동,2026-05-12 오전,구름많음,20
2026-05-05 06시,강원영동,2026-05-12 오후,구름많음,20
2026-05-05 06시,강원영동,2026-05-13 오전,구름많음,20
2026-05-05 06시,강원영동,2026-05-14 오전,맑음,10
2026-05-05 06시,강원영동,2026-05-15 오전,구름많음,20
2026-05-05 06시,전북자치도,2026-05-09 오전,맑음,10
2026-05-05 06시,전북자치도,2026-05-09 오후,맑음,10
2026-05-05 06시,전북자치도,2026-05-10 오전,맑음,10
2026-05-05 06시,전북자치도,2026-05-10 오후,맑음,10
2026-05-05 06시,전북자치도,2026-05-11 오전,맑음,10
2026-05-05 06시,전북자치도,2026-05-11 오후,맑음,10
2026-05-05 06시,전북자치도,2026-05-12 오전,구름많음,20
2026-05-05 06시,전북자치도,2026-05-12 오후,구름많음,20
2026-05-05 06시,전북자치도,2026-05-13 오전,구름많음,20
2026-05-05 06시,전북자치도,2026-05-14 오전,맑음,10
2026-05-05 06시,전북자치도,2026-05-15 오전,구름많음,20
2026-05-05 06시,전라남도,2026-05-09 오전,맑음,10
2026-05-05 06시,전라남도,2026-05-09 오후,맑음,10
2026-05-05 06시,전라남도,2026-05-10 오전,맑음,10
2026-05-05 06시,전라남도,2026-05-10 오후,맑음,10
2026-05-05 06시,전라남도,2026-05-11 오전,맑음,10
2026-05-05 06시,전라남도,2026-05-11 오후,맑음,10
2026-05-05 06시,전라남도,2026-05-12 오전,구름많음,20
2026-05-05 06시,전라남도,2026-05-12 오후,구름많음,20
2026-05-05 06시,전라남도,2026-05-13 오전,구름많음,20
2026-05-05 06시,전라남도,2026-05-14 오전,맑음,10
2026-05-05 06시,전라남도,2026-05-15 오전,구름많음,20
2026-05-05 06시,제주도,2026-05-09 오전,맑음,10
2026-05-05 06시,제주도,2026-05-09 오후,맑음,10
2026-05-05 06시,제주도,2026-05-10 오전,맑음,10
2026-05-05 06시,제주도,2026-05-10 오후,맑음,10
2026-05-05 06시,제주도,2026-05-11 오전,맑음,10
2026-05-05 06시,제주도,2026-05-11 오후,맑음,10
2026-05-05 06시,제주도,2026-05-12 오전,구름많음,20
2026-05-05 06시,제주도,2026-05-12 오후,구름많음,20
2026-05-05 06시,제주도,2026-05-13 오전,구름많음,20
2026-05-05 06시,제주도,2026-05-14 오전,맑음,10
2026-05-05 06시,제주도,2026-05-15 오전,구름많음,20
2026-05-05 06시,경상북도,2026-05-09 오전,맑음,10
2026-05-05 06시,경상북도,2026-05-09 오후,맑음,10
2026-05-05 06시,경상북도,2026-05-10 오전,맑음,10
2026-05-05 06시,경상북도,2026-05-10 오후,맑음,10
2026-05-05 06시,경상북도,2026-05-11 오전,맑음,10
2026-05-05 06시,경상북도,2026-05-11 오후,맑음,10
2026-05-05 06시,경상북도,2026-05-12 오전,구름많음,20
2026-05-05 06시,경상북도,2026-05-12 오후,구름많음,20
2026-05-05 06시,경상북도,2026-05-13 오전,구름많음,20
2026-05-05 06시,경상북도,2026-05-14 오전,맑음,10
2026-05-05 06시,경상북도,2026-05-15 오전,구름많음,20
2026-05-05 06시,경상남도,2026-05-09 오전,맑음,10
2026-05-05 06시,경상남도,2026-05-09 오후,맑음,10
2026-05-05 06시,경상남도,2026-05-10 오전,맑음,10
2026-05-05 06시,경상남도,2026-05-10 오후,맑음,10
2026-05-05 06시,경상남도,2026-05-11 오전,맑음,10
2026-05-05 06시,경상남도,2026-05-11 오후,맑음,10
2026-05-05 06시,경상남도,2026-05-12 오전,구름많음,20
2026-05-05 06시,경상남도,2026-05-12 오후,구름많음,20
2026-05-05 06시,경상남도,2026-05-13 오전,구름많음,20
2026-05-05 06시,경상남도,2026-05-14 오전,맑음,10
2026-05-05 06시,경상남도,2026-05-15 오전,구름많음,20
2026-05-05 18시,서울.인천.경기,2026-05-10 오전,맑음,10
2026-05-05 18시,서울.인천.경기,2026-05-10 오후,맑음,10
2026-05-05 18시,서울.인천.경기,2026-05-11 오전,맑음,10
2026-05-05 18시,서울.인천.경기,2026-05-11 오후,맑음,10
2026-05-05 18시,서울.인천.경기,2026-05-12 오전,구름많음,20
2026-05-05 18시,서울.인천.경기,2026-05-12 오후,구름많음,20
2026-05-05 18시,서울.인천.경기,2026-05-13 오전,구름많음,20
2026-05-05 18시,서울.인천.경기,2026-05-14 오전,맑음,10
2026-05-05 18시,서울.인천.경기,2026-05-15 오전,구름많음,20
2026-05-05 18시,충청북도,2026-05-10 오전,맑음,10
2026-05-05 18시,충청북도,2026-05-10 오후,맑음,10
2026-05-05 18시,충청북도,2026-05-11 오전,맑음,10
2026-05-05 18시,충청북도,2026-05-11 오후,맑음,10
2026-05-05 18시,충청북도,2026-05-12 오전,구름많음,20
2026-05-05 18시,충청북도,2026-05-12 오후,구름많음,20
2026-05-05 18시,충청북도,2026-05-13 오전,구름많음,20
2026-05-05 18시,충청북도,2026-05-14 오전,맑음,10
2026-05-05 18시,충청북도,2026-05-15 오전,구름많음,20
2026-05-05 18시,충청남도,2026-05-10 오전,맑음,10
2026-05-05 18시,충청남도,2026-05-10 오후,맑음,10
2026-05-05 18시,충청남도,2026-05-11 오전,맑음,10
2026-05-05 18시,충청남도,2026-05-11 오후,맑음,10
2026-05-05 18시,충청남도,2026-05-12 오전,구름많음,20
2026-05-05 18시,충청남도,2026-05-12 오후,구름많음,20
2026-05-05 18시,충청남도,2026-05-13 오전,구름많음,20
2026-05-05 18시,충청남도,2026-05-14 오전,맑음,10
2026-05-05 18시,충청남도,2026-05-15 오전,구름많음,20
2026-05-05 18시,강원영서,2026-05-10 오전,맑음,10
2026-05-05 18시,강원영서,2026-05-10 오후,맑음,10
2026-05-05 18시,강원영서,2026-05-11 오전,맑음,10
2026-05-05 18시,강원영서,2026-05-11 오후,맑음,10
2026-05-05 18시,강원영서,2026-05-12 오전,구름많음,20
2026-05-05 18시,강원영서,2026-05-12 오후,구름많음,20
2026-05-05 18시,강원영서,2026-05-13 오전,구름많음,20
2026-05-05 18시,강원영서,2026-05-14 오전,맑음,10
2026-05-05 18시,강원영서,2026-05-15 오전,구름많음,20
2026-05-05 18시,강원영동,2026-05-10 오전,맑음,10
2026-05-05 18시,강원영동,2026-05-10 오후,맑음,10
2026-05-05 18시,강원영동,2026-05-11 오전,맑음,10
2026-05-05 18시,강원영동,2026-05-11 오후,맑음,10
2026-05-05 18시,강원영동,2026-05-12 오전,구름많음,20
2026-05-05 18시,강원영동,2026-05-12 오후,구름많음,20
2026-05-05 18시,강원영동,2026-05-13 오전,구름많음,20
2026-05-05 18시,강원영동,2026-05-14 오전,맑음,10
2026-05-05 18시,강원영동,2026-05-15 오전,구름많음,20
2026-05-05 18시,전북자치도,2026-05-10 오전,맑음,10
2026-05-05 18시,전북자치도,2026-05-10 오후,맑음,10
2026-05-05 18시,전북자치도,2026-05-11 오전,맑음,10
2026-05-05 18시,전북자치도,2026-05-11 오후,맑음,10
2026-05-05 18시,전북자치도,2026-05-12 오전,구름많음,20
2026-05-05 18시,전북자치도,2026-05-12 오후,구름많음,20
2026-05-05 18시,전북자치도,2026-05-13 오전,구름많음,20
2026-05-05 18시,전북자치도,2026-05-14 오전,맑음,10
2026-05-05 18시,전북자치도,2026-05-15 오전,구름많음,20
2026-05-05 18시,전라남도,2026-05-10 오전,맑음,10
2026-05-05 18시,전라남도,2026-05-10 오후,맑음,10
2026-05-05 18시,전라남도,2026-05-11 오전,맑음,10
2026-05-05 18시,전라남도,2026-05-11 오후,맑음,10
2026-05-05 18시,전라남도,2026-05-12 오전,구름많음,20
2026-05-05 18시,전라남도,2026-05-12 오후,구름많음,20
2026-05-05 18시,전라남도,2026-05-13 오전,구름많음,20
2026-05-05 18시,전라남도,2026-05-14 오전,맑음,10
2026-05-05 18시,전라남도,2026-05-15 오전,구름많음,20
2026-05-05 18시,제주도,2026-05-10 오전,맑음,10
2026-05-05 18시,제주도,2026-05-10 오후,맑음,10
2026-05-05 18시,제주도,2026-05-11 오전,맑음,10
2026-05-05 18시,제주도,2026-05-11 오후,맑음,10
2026-05-05 18시,제주도,2026-05-12 오전,구름많음,20
2026-05-05 18시,제주도,2026-05-12 오후,구름많음,20
2026-05-05 18시,제주도,2026-05-13 오전,구름많음,20
2026-05-05 18시,제주도,2026-05-14 오전,맑음,10
2026-05-05 18시,제주도,2026-05-15 오전,구름많음,20
2026-05-05 18시,경상북도,2026-05-10 오전,맑음,10
2026-05-05 18시,경상북도,2026-05-10 오후,맑음,10
2026-05-05 18시,경상북도,2026-05-11 오전,맑음,10
2026-05-05 18시,경상북도,2026-05-11 오후,맑음,10
2026-05-05 18시,경상북도,2026-05-12 오전,구름많음,20
2026-05-05 18시,경상북도,2026-05-12 오후,구름많음,20
2026-05-05 18시,경상북도,2026-05-13 오전,구름많음,20
2026-05-05 18시,경상북도,2026-05-14 오전,맑음,10
2026-05-05 18시,경상북도,2026-05-15 오전,구름많음,20
2026-05-05 18시,경상남도,2026-05-10 오전,맑음,10
2026-05-05 18시,경상남도,2026-05-10 오후,맑음,10
2026-05-05 18시,경상남도,2026-05-11 오전,맑음,10
2026-05-05 18시,경상남도,2026-05-11 오후,맑음,10
2026-05-05 18시,경상남도,2026-05-12 오전,구름많음,20
2026-05-05 18시,경상남도,2026-05-12 오후,구름많음,20
2026-05-05 18시,경상남도,2026-05-13 오전,구름많음,20
2026-05-05 18시,경상남도,2026-05-14 오전,맑음,10
2026-05-05 18시,경상남도,2026-05-15 오전,구름많음,20
2026-05-06 06시,서울.인천.경기,2026-05-10 오전,맑음,10
2026-05-06 06시,서울.인천.경기,2026-05-10 오후,맑음,10
2026-05-06 06시,서울.인천.경기,2026-05-11 오전,맑음,10
2026-05-06 06시,서울.인천.경기,2026-05-11 오후,맑음,10
2026-05-06 06시,서울.인천.경기,2026-05-12 오전,구름많음,20
2026-05-06 06시,서울.인천.경기,2026-05-12 오후,구름많음,20
2026-05-06 06시,서울.인천.경기,2026-05-13 오전,구름많음,20
2026-05-06 06시,서울.인천.경기,2026-05-13 오후,구름많음,20
2026-05-06 06시,서울.인천.경기,2026-05-14 오전,맑음,10
2026-05-06 06시,서울.인천.경기,2026-05-15 오전,맑음,10
2026-05-06 06시,서울.인천.경기,2026-05-16 오전,구름많음,20
2026-05-06 06시,충청북도,2026-05-10 오전,맑음,10
2026-05-06 06시,충청북도,2026-05-10 오후,맑음,10
2026-05-06 06시,충청북도,2026-05-11 오전,맑음,10
2026-05-06 06시,충청북도,2026-05-11 오후,맑음,10
2026-05-06 06시,충청북도,2026-05-12 오전,구름많음,20
2026-05-06 06시,충청북도,2026-05-12 오후,구름많음,20
2026-05-06 06시,충청북도,2026-05-13 오전,구름많음,20
2026-05-06 06시,충청북도,2026-05-13 오후,구름많음,20
2026-05-06 06시,충청북도,2026-05-14 오전,맑음,10
2026-05-06 06시,충청북도,2026-05-15 오전,맑음,10
2026-05-06 06시,충청북도,2026-05-16 오전,구름많음,20
2026-05-06 06시,충청남도,2026-05-10 오전,맑음,10
2026-05-06 06시,충청남도,2026-05-10 오후,맑음,10
2026-05-06 06시,충청남도,2026-05-11 오전,맑음,10
2026-05-06 06시,충청남도,2026-05-11 오후,맑음,10
2026-05-06 06시,충청남도,2026-05-12 오전,구름많음,20
2026-05-06 06시,충청남도,2026-05-12 오후,구름많음,20
2026-05-06 06시,충청남도,2026-05-13 오전,구름많음,20
2026-05-06 06시,충청남도,2026-05-13 오후,구름많음,20
2026-05-06 06시,충청남도,2026-05-14 오전,맑음,10
2026-05-06 06시,충청남도,2026-05-15 오전,맑음,10
2026-05-06 06시,충청남도,2026-05-16 오전,구름많음,20
2026-05-06 06시,강원영서,2026-05-10 오전,맑음,10
2026-05-06 06시,강원영서,2026-05-10 오후,맑음,10
2026-05-06 06시,강원영서,2026-05-11 오전,맑음,10
2026-05-06 06시,강원영서,2026-05-11 오후,맑음,10
2026-05-06 06시,강원영서,2026-05-12 오전,구름많음,20
2026-05-06 06시,강원영서,2026-05-12 오후,구름많음,20
